"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,         184,      -5.336631713,      -4.767211288,      -4.694609402,      -3.891795499,      -8.084652506,      -1.686191608
          0,           0,         185,        -5.3424285,      -4.766924943,       -4.69377442,      -3.897860534,      -8.062818669,      -1.676862017
          0,           0,         186,      -5.350825449,      -4.765905601,      -4.693515518,      -3.906665345,      -8.053357402,      -1.672275177
          0,           0,         187,      -5.361689194,      -4.764391071,      -4.694313572,      -3.918068035,      -8.052151116,      -1.673936833
          0,           0,         188,      -5.374726397,      -4.762615378,      -4.696619683,      -3.931750995,      -8.056092047,      -1.685121039
          0,           0,         189,      -5.389384113,      -4.760796411,      -4.700780094,      -3.947094527,       -8.06422827,      -1.697810009
          0,           0,         190,      -5.404978541,       -4.75917569,      -4.707048561,      -3.963310946,      -8.076319773,      -1.707421695
          0,           0,         191,       -5.42076757,      -4.758005822,      -4.715601504,      -3.979562735,      -8.092380753,      -1.712423559
          0,           0,         192,      -5.435930059,      -4.757478467,       -4.72649604,      -3.994914945,      -8.112487324,      -1.714930623
          0,           0,         193,       -5.44994886,      -4.757751649,       -4.73973345,      -4.008821785,      -8.136776347,      -1.720552052
          0,           0,         194,      -5.462465084,      -4.758988369,      -4.755208629,      -4.020965317,      -8.165382999,      -1.728096998
          0,           0,         195,      -5.473460579,      -4.761217604,      -4.772795421,      -4.031431276,      -8.198376857,      -1.735793973
          0,           0,         196,      -5.483224643,      -4.764432978,      -4.792235836,      -4.040652873,      -8.235645977,      -1.742950306
          0,           0,         197,      -5.492182235,      -4.768610886,      -4.813229516,      -4.049212732,      -8.276726302,      -1.748160587
          0,           0,         198,      -5.500748184,      -4.773633777,      -4.835415889,      -4.057591864,      -8.320568365,       -1.75266322
          0,           0,         199,      -5.509362077,      -4.779392675,      -4.858343876,      -4.066241625,       -8.36518553,      -1.756808432
          0,           0,         200,      -5.518172487,       -4.78583691,      -4.881409566,      -4.075214044,      -8.407466395,      -1.761326006
          0,           0,         201,      -5.527310151,      -4.792893239,      -4.903858737,      -4.084525896,      -8.443425435,      -1.768899087
          0,           0,         202,      -5.536850258,      -4.800453714,      -4.924861165,      -4.094103225,      -8.469435055,      -1.776205717
          0,           0,         203,      -5.546809542,      -4.808443752,      -4.943471893,       -4.10379119,      -8.483975613,      -1.780989074
          0,           0,         204,      -5.556809642,       -4.81675683,      -4.958826119,      -4.113092511,      -8.488599027,      -1.782511936
          0,           0,         205,      -5.566409307,      -4.825275933,      -4.970376753,       -4.12145613,      -8.487079845,      -1.782722932
          0,           0,         206,      -5.575133916,      -4.833915237,      -4.977976396,      -4.128396185,      -8.483618419,      -1.779013878
          0,           0,         207,      -5.582555246,      -4.842529451,      -4.981983161,      -4.133611358,      -8.481444525,      -1.777792742
          0,           0,         208,      -5.588149304,      -4.851070014,      -4.983182244,      -4.136733418,      -8.482356203,      -1.774569457
          0,           0,         209,      -5.591501036,       -4.85935432,      -4.982577564,      -4.137605544,       -8.48664045,      -1.769465525
          0,           0,         210,      -5.592636395,      -4.867225528,      -4.981252856,      -4.136585332,      -8.493078913,       -1.76573529
          0,           0,         211,      -5.591792501,      -4.874430713,      -4.980128544,      -4.134065495,      -8.498989891,      -1.761617836
          0,           0,         212,      -5.589632976,      -4.880952957,      -4.979909599,      -4.130883289,      -8.500549346,      -1.755194238
          0,           0,         213,      -5.587091098,      -4.886480768,      -4.981173267,      -4.128028172,      -8.493991138,       -1.74889185
          0,           0,         214,      -5.585069129,      -4.890902686,      -4.984297624,      -4.126398106,      -8.477444495,      -1.740456365
          0,           0,         215,      -5.584053919,      -4.894423317,      -4.989463416,      -4.126333023,      -8.452150438,      -1.731237102
          0,           0,         216,      -5.584616752,      -4.897536053,      -4.996692066,      -4.128263983,       -8.42185761,      -1.719856461
          0,           0,         217,      -5.587066116,      -4.900883837,      -5.005767002,      -4.132335558,      -8.391079428,      -1.711808278
          0,           0,         218,      -5.591347602,      -4.904931066,      -5.016233908,      -4.138292113,      -8.363683368,      -1.705719829
          0,           0,         219,      -5.597235875,      -4.909928332,      -5.027197801,      -4.145650906,      -8.342486665,      -1.704615948
          0,           0,         220,      -5.604337284,      -4.916014068,       -5.03720677,      -4.153792683,      -8.329395057,      -1.705100534
          0,           0,         221,      -5.612198197,      -4.923238349,      -5.044414237,      -4.162049832,      -8.325688141,      -1.710413175
          0,           0,         222,      -5.620140026,      -4.931061465,      -5.046850189,      -4.169605539,      -8.332276778,      -1.717789977
          0,           0,         223,       -5.62777342,      -4.938739634,       -5.04295516,      -4.176155322,        -8.3498348,      -1.724552421
          0,           0,         224,      -5.634558465,      -4.945451928,      -5.032082603,      -4.181360905,      -8.378703827,      -1.731324646
          0,           0,         225,      -5.640063269,      -4.949961299,      -5.014863976,      -4.185121917,      -8.418355331,      -1.738981029
          0,           0,         226,      -5.643855551,      -4.950981539,      -4.992920074,      -4.187392164,      -8.465885639,      -1.746356812
          0,           0,         227,      -5.645515804,      -4.947589497,      -4.968331341,      -4.188112995,      -8.512618201,      -1.752795883
